PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
M20,1,1,PS,train,47,↓,down,↓,0.7652827000711113,True,30
M20,1,2,PS,train,30,←,left,←,0.948572599911131,True,30
M20,1,3,PS,train,42,↑,up,↑,0.8606858999701217,True,30
M20,1,4,PS,train,28,→,right,→,0.5835224000038579,True,30
M20,1,5,PS,train,37,↑,up,↑,0.7138929999200627,True,30
M20,1,6,PS,train,39,←,left,←,0.5505792999174446,True,30
M20,1,7,PS,train,39,→,right,→,0.583300800062716,True,30
M20,1,8,PS,train,32,↓,down,↓,0.5336690000258386,True,30
M20,1,9,PS,train,39,←,left,←,0.4511770000681281,True,30
M20,1,10,PS,train,45,↑,up,↑,0.732403100002557,True,30
M20,2,11,AS,train,42,←,left,←,0.534424600074999,True,60
M20,2,12,AS,train,42,→,right,→,1.3561958000063896,True,60
M20,2,13,AS,train,47,↑,up,↑,0.9013199999462813,True,60
M20,2,14,AS,train,48,↓,down,↓,1.3261271000374109,True,60
M20,2,15,AS,train,31,←,left,←,1.0505669999402016,True,60
M20,2,16,AS,train,38,↑,up,↑,0.834612499922514,True,60
M20,2,17,AS,train,30,→,right,→,1.0510019999928772,True,60
M20,2,18,AS,train,31,←,left,←,0.4178458999376744,True,60
M20,2,19,AS,train,49,↑,up,↑,0.5841448999708518,True,60
M20,2,20,AS,train,43,→,right,→,0.8848342999117449,True,60
M20,-,21,PS,adaptive,32,↑,up,↑,0.5476273000240326,True,10
M20,-,22,PS,adaptive,38,←,right,→,0.8776901999954134,False,10
M20,-,23,PS,adaptive,32,↓,no_key,no_letter,-1.0,False,11
M20,-,24,PS,adaptive,38,→,no_key,no_letter,-1.0,False,12
M20,-,25,PS,adaptive,46,↑,no_key,no_letter,-1.0,False,13
M20,-,26,PS,adaptive,49,↓,no_key,no_letter,-1.0,False,14
M20,-,27,PS,adaptive,26,←,no_key,no_letter,-1.0,False,15
M20,-,28,PS,adaptive,28,→,right,→,0.8227158000227064,True,16
M20,-,29,PS,adaptive,48,↓,down,↓,0.7096577000338584,True,16
M20,-,30,PS,adaptive,49,↑,up,↑,0.6555874000769109,True,15
M20,-,31,PS,adaptive,33,↓,down,↓,0.547594300005585,True,15
M20,-,32,PS,adaptive,30,↑,down,↓,0.8708058000775054,False,14
M20,-,33,PS,adaptive,33,→,right,→,1.4206149000674486,True,15
M20,-,34,PS,adaptive,45,↑,up,↑,0.5631905000191182,True,15
M20,-,35,PS,adaptive,40,↓,down,↓,0.6689159000525251,True,14
M20,-,36,PS,adaptive,25,↑,up,↑,0.5360322999767959,True,14
M20,-,37,PS,adaptive,27,↓,down,↓,0.707473500049673,True,13
M20,-,38,PS,adaptive,35,→,no_key,no_letter,-1.0,False,13
M20,-,39,AS,adaptive,30,↓,no_key,no_letter,-1.0,False,20
M20,-,40,AS,adaptive,29,←,no_key,no_letter,-1.0,False,21
M20,-,41,AS,adaptive,39,↑,no_key,no_letter,-1.0,False,22
M20,-,42,AS,adaptive,31,→,no_key,no_letter,-1.0,False,23
M20,-,43,AS,adaptive,31,←,no_key,no_letter,-1.0,False,24
M20,-,44,AS,adaptive,31,→,no_key,no_letter,-1.0,False,25
M20,-,45,AS,adaptive,50,↑,up,↑,0.6757586000021547,True,26
M20,-,46,AS,adaptive,25,←,left,←,0.8438247999874875,True,26
M20,-,47,AS,adaptive,39,↓,down,↓,0.6325616000685841,True,25
M20,-,48,AS,adaptive,38,↑,right,→,2.0746334000723436,False,25
M20,-,49,AS,adaptive,45,↓,down,↓,0.9885385999223217,True,26
M20,-,50,AS,adaptive,25,↑,up,↑,0.7053644000552595,True,26
M20,-,51,AS,adaptive,25,↓,up,↑,0.9586210999405012,False,25
M20,1,52,PS,intra_train,33,↑,no_key,no_letter,-1.0,False,21
M20,1,53,PS,intra_train,28,←,no_key,no_letter,-1.0,False,21
M20,1,54,PS,intra_train,45,→,no_key,no_letter,-1.0,False,21
M20,1,55,PS,intra_train,26,↑,no_key,no_letter,-1.0,False,21
M20,1,56,PS,intra_train,48,→,no_key,no_letter,-1.0,False,21
M20,1,57,PS,exp,44,↑,no_key,no_letter,-1.0,False,14
M20,1,58,PS,exp,41,↓,no_key,no_letter,-1.0,False,15
M20,2,59,AS,intra_train,31,↑,no_key,no_letter,-1.0,False,39
M20,2,60,AS,intra_train,43,↓,no_key,no_letter,-1.0,False,39
M20,2,61,AS,intra_train,27,←,no_key,no_letter,-1.0,False,39
M20,2,62,AS,intra_train,38,↑,no_key,no_letter,-1.0,False,39
M20,2,63,AS,intra_train,33,↓,no_key,no_letter,-1.0,False,39
M20,2,64,AS,exp,43,→,no_key,no_letter,-1.0,False,26
M20,2,65,AS,exp,33,↑,no_key,no_letter,-1.0,False,27
