PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
M20,1,1,PS,training,10,↓,down,↓,0.5668329000036465,True,30
M20,1,2,PS,training,10,←,left,←,0.7595160999917425,True,30
M20,1,3,PS,training,10,↑,no_key,no_letter,-1.0,False,30
M20,1,4,PS,training,10,→,right,→,0.5671323999995366,True,30
M20,2,5,AS,training,10,←,left,←,0.7137108000024455,True,18
M20,2,6,AS,training,10,←,right,→,0.4173097000020789,False,18
M20,1,7,PS,train,30,←,right,→,0.8825172999931965,False,15
M20,1,8,PS,train,30,←,left,←,0.5528733999963151,True,15
M20,1,9,PS,exp,60,↓,up,↑,0.8175002000061795,False,10
M20,1,10,PS,exp,30,→,right,→,0.5106838000065181,True,11
M20,1,11,PS,exp,30,→,right,→,0.629544999988866,True,11
M20,1,12,PS,exp,60,↑,up,↑,0.6936729000008199,True,10
M20,2,13,AS,train,60,↓,up,↑,0.8878685000090627,False,22
M20,2,14,AS,train,60,↑,up,↑,0.5806490999966627,True,22
M20,2,15,AS,exp,30,↓,down,↓,0.6287044999917271,True,15
M20,2,16,AS,exp,60,←,left,←,0.49146740000287537,True,15
